sno,gmaps_place_id,gmaps_name,gmaps_formatted_address,gmaps_latitude,gmaps_longitude,gmaps_opening_hours_weekday_text,gmaps_website,gmaps_phone,gmaps_rating,gmaps_user_ratings_total,gmaps_editorial_summary,gmaps_url,gmaps_directions_url,gmaps_plus_code_global,gmaps_plus_code_compound,gmaps_addr_country,gmaps_addr_postal_code,gmaps_addr_postal_town,gmaps_addr_admin_area_level_1,gmaps_addr_admin_area_level_2,description_short,age_range,conditions_supported,specific_services,organization_type,status,last_verified
566,ChIJMbO9-7qY2EcR9ImOFI47Gq4,Epping Sports Centre,"25 Hemnall St, Epping CM16 4LU, UK",51.6961725,0.1096334,Monday: 6:30?AM?�?9:15?PM; Tuesday: 6:30?AM?�?9:15?PM; Wednesday: 6:30?AM?�?9:15?PM; Thursday: 6:30?AM?�?9:15?PM; Friday: 6:30?AM?�?8:30?PM; Saturday: 8:00?AM?�?3:00?PM; Sunday: 8:00?AM?�?3:00?PM,https://www.placesleisure.org/centres/epping-sports-centre/?utm_source=gmb&utm_medium=button&y_source=1_Njc0OTcwMzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+44 1992 565670,3.7,165,,https://maps.google.com/?cid=12545405193410218484,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJMbO9-7qY2EcR9ImOFI47Gq4,9F32M4W5+FV,"M4W5+FV Epping, UK",United Kingdom,CM16 4LU,Epping,England,Essex,,,,,,,
568,ChIJWfRdPtwWdkgROerwjrHWEj8,Sportability,"Laynes House, 526-528 Watford Wy, London NW7 4RS, UK",51.61628899999999,-0.242978,Monday: 8:30?AM?�?6:00?PM; Tuesday: 8:30?AM?�?6:00?PM; Wednesday: 8:30?AM?�?6:00?PM; Thursday: 8:30?AM?�?6:00?PM; Friday: 8:30?AM?�?6:00?PM; Saturday: Closed; Sunday: Closed,http://www.sportability.org.uk/,+44 7305 047533,,,,https://maps.google.com/?cid=4544931032065960505,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJWfRdPtwWdkgROerwjrHWEj8,9C3XJQ84+GR,"JQ84+GR London, UK",United Kingdom,NW7 4RS,London,England,Greater London,,,,,,,
569,ChIJ10YU-GPXdUgRbVFvPnGjxXQ,Wheels for All Inclusive Cycling,"Sportsbox Athletics Track, Woking GU22 0AF, UK",51.29978939999999,-0.5741727,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: Closed; Saturday: Closed; Sunday: 1:00?�?3:00?PM,https://wheelsforall.org.uk/,+44 7852 205877,5,1,,https://maps.google.com/?cid=8414311185585754477,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ10YU-GPXdUgRbVFvPnGjxXQ,9C3X7CXG+W8,"7CXG+W8 Woking, UK",United Kingdom,GU22 0AF,Woking,England,Surrey,,,,,,,
570,ChIJGQc1QRLidUgRRGB9KomrCm4,Rainbow Leisure Centre,"East St, Epsom KT17 1BN, UK",51.3369544,-0.2629865,Monday: 6:00?AM?�?10:00?PM; Tuesday: 6:00?AM?�?10:00?PM; Wednesday: 6:00?AM?�?10:00?PM; Thursday: 6:00?AM?�?10:00?PM; Friday: 6:00?AM?�?10:00?PM; Saturday: 7:00?AM?�?8:00?PM; Sunday: 7:00?AM?�?8:00?PM,https://www.placesleisure.org/centres/rainbow-leisure-centre/,+44 1372 727277,3.9,851,"Large leisure centre with a modern gym, sports hall, swimming pools and a thermal spa.",https://maps.google.com/?cid=7929338699550908484,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJGQc1QRLidUgRRGB9KomrCm4,9C3X8PPP+QR,"8PPP+QR Epsom, UK",United Kingdom,KT17 1BN,Epsom,England,Surrey,,,,,,,
571,ChIJOXEhu1DjdUgRiVCrqpJ1x6g,Swimtime Surrey & Basingstoke,"Banstead Rd, Epsom KT17 3HG, UK",51.3385283,-0.229582,Monday: 10:00?AM?�?5:00?PM; Tuesday: 10:00?AM?�?5:00?PM; Wednesday: 10:00?AM?�?5:00?PM; Thursday: 10:00?AM?�?5:00?PM; Friday: 10:00?AM?�?3:00?PM; Saturday: Closed; Sunday: Closed,https://www.swimtime.org/locations/swimming-lessons-in-surrey,+44 1483 616222,,,,https://maps.google.com/?cid=12161818591526342793,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJOXEhu1DjdUgRiVCrqpJ1x6g,9C3X8QQC+C5,"8QQC+C5 Epsom, UK",United Kingdom,KT17 3HG,Epsom,England,Surrey,,,,,,,
572,ChIJd44pmJm32EcR5Lyh2LuiVVo,Impulse Leisure - Blackshots,"Blackshots Ln, Grays RM16 2JU, UK",51.491439,0.3422893,Monday: 6:00?AM?�?10:00?PM; Tuesday: 6:00?AM?�?10:00?PM; Wednesday: 6:00?AM?�?10:00?PM; Thursday: 6:00?AM?�?10:00?PM; Friday: 6:00?AM?�?10:00?PM; Saturday: 6:00?AM?�?5:00?PM; Sunday: 8:00?AM?�?4:00?PM,http://impulseleisure.co.uk/centres/blackshots,+44 1375 375533,3.5,377,,https://maps.google.com/?cid=6509287764110982372,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJd44pmJm32EcR5Lyh2LuiVVo,9F32F8RR+HW,"F8RR+HW Grays, UK",United Kingdom,RM16 2JU,Grays,England,Thurrock,,,,,,,
573,ChIJxYgwE0LZ2EcRvkGjlPsAujk,Essex outdoor swim coach,"23 Beach Ave, Southend-on-Sea, Leigh-on-Sea SS9 1HP, UK",51.5427054,0.6680904,Monday: 6:00?AM?�?2:00?PM; Tuesday: 6:00?AM?�?2:00?PM; Wednesday: 6:00?AM?�?2:00?PM; Thursday: 6:00?AM?�?2:00?PM; Friday: 6:00?AM?�?2:00?PM; Saturday: 6:00?AM?�?12:00?PM; Sunday: Closed,https://essexoutdoorswimcoach.co.uk/,+44 7737 065133,5,45,,https://maps.google.com/?cid=4159638286360592830,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJxYgwE0LZ2EcRvkGjlPsAujk,9F32GMV9+36,"GMV9+36 Leigh-on-Sea, UK",United Kingdom,SS9 1HP,Leigh-on-Sea,England,Southend-on-Sea,,,,,,,
574,ChIJXWZh8p4bdkgRpL9KhwAbhQc,Finsbury Park Cycle Hub,"12 Stroud Green Rd, Finsbury Park, London N4 2DF, UK",51.5653695,-0.1055166,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,https://www.spokesafe.com/,+44 20 3576 3062,3.1,7,,https://maps.google.com/?cid=541869019251785636,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJXWZh8p4bdkgRpL9KhwAbhQc,9C3XHV8V+4Q,"HV8V+4Q London, UK",United Kingdom,N4 2DF,London,England,Greater London,,,,,,,
575,ChIJuQnEk8ILdkgRm3Qd1ny9gH8,St Joseph's Catholic Primary & Nursery School,"Fairfield Rd, Kingston upon Thames KT1 2UP, UK",51.4086492,-0.2949935,Monday: 8:00?AM?�?4:00?PM; Tuesday: 8:00?AM?�?4:00?PM; Wednesday: 8:00?AM?�?4:00?PM; Thursday: 8:00?AM?�?4:00?PM; Friday: 8:00?AM?�?4:00?PM; Saturday: Closed; Sunday: Closed,https://www.stjosephs.kingston.sch.uk/,+44 20 8546 7178,,,,https://maps.google.com/?cid=9187551583701660827,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJuQnEk8ILdkgRm3Qd1ny9gH8,9C3XCP54+F2,"CP54+F2 Kingston upon Thames, UK",United Kingdom,KT1 2UP,Kingston upon Thames,England,Greater London,,,,,,,
576,ChIJA06pFcal2EcRNahedg5Ldow,Barking Sporthouse and Gym,"Mayesbrook Park, Lodge Ave, Dagenham RM8 2JR, UK",51.54580319999999,0.1118931,Monday: 6:30?AM?�?10:00?PM; Tuesday: 6:30?AM?�?10:00?PM; Wednesday: 6:30?AM?�?10:00?PM; Thursday: 6:30?AM?�?10:00?PM; Friday: 6:30?AM?�?10:00?PM; Saturday: 8:00?AM?�?6:00?PM; Sunday: 8:00?AM?�?6:00?PM,https://www.better.org.uk/leisure-centre/london/barking-and-dagenham/barking-sporthouse-and-gym?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,+44 20 3859 6358,4,1251,,https://maps.google.com/?cid=10121359738049308725,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJA06pFcal2EcRNahedg5Ldow,9F32G4W6+8Q,"G4W6+8Q Dagenham, UK",United Kingdom,RM8 2JR,Dagenham,England,Greater London,,,,,,,
577,ChIJqc8Kv9HL2EcR-vDoif8VqRg,Disability Sportslink,"Thong Ln, Gravesend DA12 4LG, UK",51.4202164,0.3985329,,,+44 1474 536254,,,,https://maps.google.com/?cid=1776975715248959738,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJqc8Kv9HL2EcR-vDoif8VqRg,9F32C9CX+3C,"C9CX+3C Gravesend, UK",United Kingdom,DA12 4LG,Gravesend,England,Kent,,,,,,,
578,ChIJOV9UdmISdkgRrV3JTNZJzSA,Gurnell Leisure Centre,"Ruislip Rd E, London W13 0AL, UK",51.5288932,-0.3310139,,https://www.better.org.uk/leisure-centre/london/ealing/gurnell-leisure-centre?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,+44 20 8998 3241,3.7,636,"Rare 50m pool with a smaller leisure pool, sauna, steam room and exercise studios with classes.",https://maps.google.com/?cid=2363626564199472557,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJOV9UdmISdkgRrV3JTNZJzSA,9C3XGMH9+HH,"GMH9+HH London, UK",United Kingdom,W13 0AL,London,England,Greater London,,,,,,,
579,ChIJOXNGZwap2EcRzshP-ZEaIQc,Nest Cycles,"23 Dairsie Rd, London SE9 1XN, UK",51.4624186,0.0589763,Monday: Closed; Tuesday: Closed; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: 10:00?AM?�?12:00?PM; Sunday: Closed,https://nestcycles.com/,+44 7575 201592,5,127,,https://maps.google.com/?cid=513721046752282830,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJOXNGZwap2EcRzshP-ZEaIQc,9F32F365+XH,"F365+XH London, UK",United Kingdom,SE9 1XN,London,England,Greater London,,,,,,,
580,ChIJr3w0epGp2EcR0MvzZu2nLgg,Eric Liddell Sports Centre,"Mottingham Ln, London SE9 4QF, UK",51.43791539999999,0.0402091,Monday: 4:00?�?10:00?PM; Tuesday: 6:00?�?10:00?PM; Wednesday: 6:00?�?10:00?PM; Thursday: 6:00?�?10:00?PM; Friday: 6:00?�?10:00?PM; Saturday: 6:30?AM?�?8:00?PM; Sunday: 7:00?AM?�?9:00?PM,http://www.elsc.london/,+44 20 8851 9111,4.3,166,,https://maps.google.com/?cid=589593239308454864,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJr3w0epGp2EcR0MvzZu2nLgg,9F32C2QR+53,"C2QR+53 London, UK",United Kingdom,SE9 4QF,London,England,Greater London,,,,,,,
581,ChIJOVRDeJ4bdkgRx5eXvk8Ci1o,The Access to Sports Project,"Sobell Leisure Centre, Hornsey Rd, London N7 7NY, UK",51.5588963,-0.1120428,Monday: 10:00?AM?�?5:30?PM; Tuesday: 10:00?AM?�?5:30?PM; Wednesday: 10:00?AM?�?5:30?PM; Thursday: 10:00?AM?�?5:30?PM; Friday: 10:00?AM?�?5:30?PM; Saturday: Closed; Sunday: Closed,http://www.accesstosports.org.uk/,+44 20 7686 8812,4.3,7,,https://maps.google.com/?cid=6524311026699573191,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJOVRDeJ4bdkgRx5eXvk8Ci1o,9C3XHV5Q+H5,"HV5Q+H5 London, UK",United Kingdom,N7 7NY,London,England,Greater London,,,,,,,
582,ChIJcbpaFccPdkgRueMMi4eOt_I,St Paul's Girls' School,"Brook Grn, London W6 7BS, UK",51.4951774,-0.2189058,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.spgs.org/,+44 20 7603 2288,,,,https://maps.google.com/?cid=17489604390721217465,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJcbpaFccPdkgRueMMi4eOt_I,9C3XFQWJ+3C,"FQWJ+3C London, UK",United Kingdom,W6 7BS,London,England,Greater London,,,,,,,
583,ChIJN454_8UbdkgRGJMn1542SZg,Park Road Leisure Centre & Lido,"Park Rd, London N8 8JN, UK",51.5834361,-0.1301258,Monday: 6:30?AM?�?9:00?PM; Tuesday: 6:30?AM?�?9:00?PM; Wednesday: 6:30?AM?�?9:00?PM; Thursday: 6:30?AM?�?9:00?PM; Friday: 6:30?AM?�?9:00?PM; Saturday: 8:00?AM?�?5:00?PM; Sunday: 8:00?AM?�?5:00?PM,https://www.haringey.gov.uk/leisure,+44 20 8489 3277,3.3,1041,"Sports complex with fitness and leisure pools, an outdoor lido, gym, exercise studio and a cafe.",https://maps.google.com/?cid=10973362022907351832,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJN454_8UbdkgRGJMn1542SZg,9C3XHVM9+9W,"HVM9+9W London, UK",United Kingdom,N8 8JN,London,England,Greater London,,,,,,,
584,ChIJ-c07w0YLdkgRbXSbnuBH6p8,Companion Cycling,"The Stock Yard/Hampton Ct Rd, Hampton TW12 2EJ, UK",51.4124278,-0.3568726,Monday: 10:00?AM?�?1:00?PM; Tuesday: 10:00?AM?�?1:00?PM; Wednesday: 10:00?AM?�?1:00?PM; Thursday: Closed; Friday: 10:00?AM?�?1:00?PM; Saturday: 10:30?AM?�?12:30?PM; Sunday: 10:00?AM?�?1:00?PM,http://www.companioncycling.org.uk/,+44 20 8979 6061,4.7,43,,https://maps.google.com/?cid=11523101626640069741,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ-c07w0YLdkgRbXSbnuBH6p8,9C3XCJ6V+X7,"CJ6V+X7 Hampton, UK",United Kingdom,TW12 2EJ,Hampton,England,Greater London,,,,,,,
585,ChIJJUlH7dwbdkgRf_hi8DQqKhY,Campsbourne School and Extended Services,"Nightingale Ln, London N8 7AF, UK",51.5903552,-0.1218478,Monday: 8:45?AM?�?5:00?PM; Tuesday: 8:45?AM?�?5:00?PM; Wednesday: 8:45?AM?�?5:00?PM; Thursday: 8:45?AM?�?5:00?PM; Friday: 8:45?AM?�?4:45?PM; Saturday: Closed; Sunday: Closed,https://campsbourne.haringey.sch.uk/,+44 20 8340 2064,,,,https://maps.google.com/?cid=1597135424715946111,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJJUlH7dwbdkgRf_hi8DQqKhY,9C3XHVRH+47,"HVRH+47 London, UK",United Kingdom,N8 7AF,London,England,Greater London,,,,,,,
586,ChIJuS3Zv4cbdkgRQX7WQnf5aHE,Water Babies at South Harringay Junior School,"Mattison Rd, Harringay Ladder, London N4 1BD, UK",51.5800688,-0.1012203,Monday: Closed; Tuesday: 9:00?AM?�?12:00?PM; Wednesday: 9:30?AM?�?12:30?PM; Thursday: Closed; Friday: 12:00?�?2:30?PM; Saturday: Closed; Sunday: Closed,https://www.waterbabies.co.uk/classes/london-north/south-harringay-junior-school,+44 20 3617 8823,,,,https://maps.google.com/?cid=8172055814481542721,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJuS3Zv4cbdkgRQX7WQnf5aHE,9C3XHVJX+2G,"HVJX+2G London, UK",United Kingdom,N4 1BD,London,England,Greater London,,,,,,,
587,ChIJNUee0oMTdkgRIBaDo4Dl1iI,Harrow Leisure Centre,"Christchurch Ave, Harrow HA3 5BD, UK",51.5926986,-0.3275773,Monday: 6:00?AM?�?10:00?PM; Tuesday: 6:00?AM?�?10:00?PM; Wednesday: 6:00?AM?�?10:00?PM; Thursday: 6:00?AM?�?10:00?PM; Friday: 6:00?AM?�?10:00?PM; Saturday: 6:30?AM?�?8:00?PM; Sunday: 6:30?AM?�?8:00?PM,https://www.everyoneactive.com/centre/Harrow-Leisure-Centre/,+44 20 8901 5980,3.5,1453,,https://maps.google.com/?cid=2510446182967481888,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJNUee0oMTdkgRIBaDo4Dl1iI,9C3XHMVC+3X,"HMVC+3X Harrow, UK",United Kingdom,HA3 5BD,Harrow,England,Greater London,,,,,,,
589,ChIJtbTKX2X_dUgRKx50y4jJWfw,Aquarius Swimming Club,"Godstone Rd, Caterham, Warlingham, Whyteleafe CR3 6RD, UK",51.306833,-0.0786308,,http://www.aquariusswimming.co.uk/,+44 7736 251800,5,1,,https://maps.google.com/?cid=18183786559851208235,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJtbTKX2X_dUgRKx50y4jJWfw,9C3X8W4C+PG,"8W4C+PG Caterham, UK",United Kingdom,CR3 6RD,Whyteleafe,England,Surrey,,,,,,,
590,ChIJd1vzZwBHdkgRKXuF_VAP2TU,Funkey Fitness swimming,"Funkey fitness, Astley Cooper School, St Agnells Ln, Hemel Hempstead HP2 7HL, UK",51.77566400000001,-0.448165,Monday: Closed; Tuesday: 4:00?�?7:00?PM; Wednesday: Closed; Thursday: 4:00?�?6:30?PM; Friday: Closed; Saturday: 9:00?AM?�?3:00?PM; Sunday: 9:00?AM?�?1:00?PM,http://www.funkeyfitnessclub.co.uk/,+44 7927 176599,4.4,8,,https://maps.google.com/?cid=3880149394481576745,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJd1vzZwBHdkgRKXuF_VAP2TU,9C3XQHG2+7P,"QHG2+7P Hemel Hempstead, UK",United Kingdom,HP2 7HL,Hemel Hempstead,England,Hertfordshire,,,,,,,
591,ChIJaXi_PdRtdkgRi0Hnk9n0Gqk,Hillingdon Sports & Leisure Complex,"Gatting Way, Uxbridge UB8 1ES, UK",51.5512959,-0.4672432,Monday: 5:00?AM?�?10:00?PM; Tuesday: 5:00?AM?�?10:00?PM; Wednesday: 5:00?AM?�?10:00?PM; Thursday: 5:00?AM?�?10:00?PM; Friday: 5:00?AM?�?10:00?PM; Saturday: 7:00?AM?�?8:00?PM; Sunday: 8:00?AM?�?6:00?PM,https://www.better.org.uk/leisure-centre/london/hillingdon/hillingdon-sports-lc?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,+44 20 3912 3733,4.1,1840,"Bright, modern space with 100-station gym, classes, a stadium track and indoor and outdoor pools.",https://maps.google.com/?cid=12185320957130785163,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJaXi_PdRtdkgRi0Hnk9n0Gqk,9C3XHG2M+G4,"HG2M+G4 Uxbridge, UK",United Kingdom,UB8 1ES,Uxbridge,England,Greater London,,,,,,,
593,ChIJmbBHCZNsdkgRmknGTbz7B-Q,Highgrove Pool and Fitness Centre,"Eastcote Rd, Hume Way, Ruislip HA4 8DZ, UK",51.57979419999999,-0.4091334,Monday: 6:00?AM?�?10:00?PM; Tuesday: 6:00?AM?�?10:00?PM; Wednesday: 6:00?AM?�?10:00?PM; Thursday: 6:00?AM?�?10:00?PM; Friday: 6:00?AM?�?10:00?PM; Saturday: 7:00?AM?�?5:30?PM; Sunday: 8:00?AM?�?5:30?PM,https://www.better.org.uk/leisure-centre/london/hillingdon/highgrove-leisure-centre?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,+44 1895 630753,4,906,,https://maps.google.com/?cid=16431378551661808026,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJmbBHCZNsdkgRmknGTbz7B-Q,9C3XHHHR+W8,"HHHR+W8 Ruislip, UK",United Kingdom,HA4 8DZ,Ruislip,England,Greater London,,,,,,,
594,ChIJ-2r6teQzdkgRjA12hntZwZk,Hitchin Swimming & Fitness Centre,"Fishponds Rd, Hitchin SG5 1HA, UK",51.95227730000001,-0.2809808,Monday: 6:00?AM?�?10:00?PM; Tuesday: 6:00?AM?�?10:00?PM; Wednesday: 6:00?AM?�?10:00?PM; Thursday: 6:00?AM?�?10:00?PM; Friday: 6:00?AM?�?10:00?PM; Saturday: 7:00?AM?�?6:00?PM; Sunday: 7:00?AM?�?6:00?PM,https://www.everyoneactive.com/centre/hitchin-swimming-and-fitness-centre/,+44 1492 441646,4.2,173,"Fitness centre including outdoor summer pool with sunbathing terrace, indoor pool and toddler pool.",https://maps.google.com/?cid=11079234945379863948,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ-2r6teQzdkgRjA12hntZwZk,9C3XXP29+WJ,"XP29+WJ Hitchin, UK",United Kingdom,SG5 1HA,Hitchin,England,Hertfordshire,,,,,,,
595,ChIJLX3volYndkgRn2OjgfLOCG4,The John Warner Sports Centre,"Stanstead Rd, Hoddesdon EN11 0QG, UK",51.77520999999999,-0.000752,Monday: 6:00?AM?�?10:00?PM; Tuesday: 6:00?AM?�?10:00?PM; Wednesday: 6:00?AM?�?10:00?PM; Thursday: 6:00?AM?�?10:00?PM; Friday: 6:00?AM?�?8:00?PM; Saturday: 7:00?AM?�?6:00?PM; Sunday: 7:00?AM?�?6:00?PM,https://bebroxbourne.co.uk/centres/john-warner/,+44 1992 445375,4.1,420,"Council-run leisure centre with gym, swimming pool, exercise classes, football pitches and bar/cafe.",https://maps.google.com/?cid=7928814684938134431,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJLX3volYndkgRn2OjgfLOCG4,9C3XQXGX+3M,"QXGX+3M Hoddesdon, UK",United Kingdom,EN11 0QG,Hoddesdon,England,Hertfordshire,,,,,,,
596,ChIJbz00eCW72EcRv-wkpDkmsGQ,Harrow Lodge Leisure Centre,"Hornchurch Rd, Hornchurch RM11 1JU, UK",51.5620702,0.2063005,Monday: 5:45?AM?�?10:00?PM; Tuesday: 5:45?AM?�?10:00?PM; Wednesday: 5:45?AM?�?10:00?PM; Thursday: 5:45?AM?�?10:00?PM; Friday: 5:45?AM?�?10:00?PM; Saturday: 6:45?AM?�?6:00?PM; Sunday: 7:30?AM?�?9:00?PM,https://www.everyoneactive.com/centre/harrow-lodge-leisure-centre/,+44 1708 454135,3.8,447,"Unpretentious gym with machines, fitness classes, 2 pools & a hall for football & net sports.",https://maps.google.com/?cid=7255341028702743743,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJbz00eCW72EcRv-wkpDkmsGQ,9F32H664+RG,"H664+RG Hornchurch, UK",United Kingdom,RM11 1JU,Hornchurch,England,Greater London,,,,,,,
597,ChIJX3I5eJ4bdkgRaKkmmOEUOY8,Sobell Leisure Centre,"Tollington Rd, London N7 7NY, UK",51.5590084,-0.1122172,Monday: 6:30?AM?�?10:00?PM; Tuesday: 6:30?AM?�?10:00?PM; Wednesday: 6:30?AM?�?10:00?PM; Thursday: 6:30?AM?�?10:00?PM; Friday: 6:30?AM?�?10:00?PM; Saturday: 8:00?AM?�?6:00?PM; Sunday: 8:00?AM?�?6:00?PM,https://www.better.org.uk/leisure-centre/london/islington/sobell?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,+44 20 3642 5520,4.1,1706,"Huge complex offering indoor & outdoor sports courts, a boxing gym & a fitness centre.",https://maps.google.com/?cid=10320302980249069928,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJX3I5eJ4bdkgRaKkmmOEUOY8,9C3XHV5Q+J4,"HV5Q+J4 London, UK",United Kingdom,N7 7NY,London,England,Greater London,,,,,,,
598,ChIJoxiI_clydkgR-YqU7sotETs,Hounslow Badminton Centre,"Hounslow Badminton Centre, 237 N Hyde Ln, Hounslow, Southall UB2 5TZ, UK",51.4933602,-0.3829471,,https://www.middlesexbadmintondome.co.uk/,+44 7767 950523,4.7,3,,https://maps.google.com/?cid=4256233472451185401,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJoxiI_clydkgR-YqU7sotETs,9C3XFJV8+8R,"FJV8+8R Southall, UK",United Kingdom,UB2 5TZ,Southall,England,Greater London,,,,,,,
599,ChIJ4fINJF0OdkgR886YP95ZB3Q,New Chiswick Pool,"4 Edensor Rd, Chiswick, London W4 2RG, UK",51.4820187,-0.2548778,Monday: 6:30?AM?�?10:00?PM; Tuesday: 6:30?AM?�?10:00?PM; Wednesday: 6:30?AM?�?10:00?PM; Thursday: 6:30?AM?�?10:00?PM; Friday: 6:30?AM?�?10:00?PM; Saturday: 8:00?AM?�?6:00?PM; Sunday: 8:00?AM?�?6:00?PM,https://www.lamptonleisure.co.uk/centre/new-chiswick-pool,+44 20 8583 2900,3.9,315,"Basic public pool with a small gym, a sauna & a steam room, plus group fitness classes.",https://maps.google.com/?cid=8360750044321206003,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ4fINJF0OdkgR886YP95ZB3Q,9C3XFPJW+R2,"FPJW+R2 London, UK",United Kingdom,W4 2RG,London,England,Greater London,,,,,,,
600,ChIJQfwZV_8MdkgRJgVs__QigoQ,Isleworth Leisure Centre and Library,"Twickenham Rd, Isleworth TW7 7EU, UK",51.4662604,-0.3302705,Monday: 6:30?AM?�?10:00?PM; Tuesday: 6:30?AM?�?10:00?PM; Wednesday: 6:30?AM?�?10:00?PM; Thursday: 6:30?AM?�?10:00?PM; Friday: 6:30?AM?�?9:00?PM; Saturday: 8:00?AM?�?6:00?PM; Sunday: 8:00?AM?�?6:00?PM,https://www.lamptonleisure.co.uk/our-centres/isleworth-leisure-centre/,+44 20 8583 2900,3,259,,https://maps.google.com/?cid=9548232595631506726,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJQfwZV_8MdkgRJgVs__QigoQ,9C3XFM89+GV,"FM89+GV Isleworth, UK",United Kingdom,TW7 7EU,Isleworth,England,Greater London,,,,,,,
602,ChIJi8aP6vQ030cR8jW53nTJLoQ,Larkfield Leisure Centre,"Larkfield Leisure Centre, New Hythe Ln, Aylesford ME20 6RH, UK",51.3079638,0.4436054,Monday: 6:30?AM?�?10:30?PM; Tuesday: 6:30?AM?�?10:30?PM; Wednesday: 6:30?AM?�?10:30?PM; Thursday: 6:30?AM?�?10:30?PM; Friday: 6:30?AM?�?10:30?PM; Saturday: 6:30?AM?�?7:00?PM; Sunday: 6:30?AM?�?8:00?PM,http://www.larkfieldleisure.co.uk/,+44 1622 719345,4.1,1177,,https://maps.google.com/?cid=9524771765725246962,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJi8aP6vQ030cR8jW53nTJLoQ,9F328C5V+5C,"8C5V+5C Aylesford, UK",United Kingdom,ME20 6RH,Aylesford,England,Kent,,,,,,,
603,ChIJTUyUryAQdkgR1oR777DwnGo,Action Disability Kensington & Chelsea,"Whitstable House, Silchester Rd, London W10 6SB, UK",51.5152323,-0.2167995,Monday: 9:30?AM?�?5:00?PM; Tuesday: 9:30?AM?�?5:00?PM; Wednesday: 9:30?AM?�?5:00?PM; Thursday: 9:30?AM?�?5:00?PM; Friday: 9:30?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,https://www.adkc.org.uk/,+44 20 8960 8888,4.5,8,,https://maps.google.com/?cid=7682279707109983446,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJTUyUryAQdkgR1oR777DwnGo,9C3XGQ8M+37,"GQ8M+37 London, UK",United Kingdom,W10 6SB,London,England,Greater London,,,,,,,
